[2022-07-04 15:59:37,999] Register - Step 01: Click the Account link
[2022-07-06 11:08:36,048] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-06 11:08:36,133] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test356989@live.com'
[2022-07-06 11:08:36,232] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-06 11:08:36,322] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-06 11:08:36,456] Register - Step 08: Click the Register button
[2022-07-06 11:08:38,309] Register - Step 09: Verify the register success message is displayed
[2022-07-06 11:08:38,352] ---------------------------------PASSED---------------------------------
[2022-07-06 11:08:38,352] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-06 11:08:38,394] ---------------------------------PASSED---------------------------------
[2022-07-06 11:08:38,395] Register - Step 11: Verify the email address 'auto_test356989@live.com' is displayed
[2022-07-06 11:08:38,447] ---------------------------------PASSED---------------------------------
[2022-07-06 11:08:38,447] Register - Step 12: Click Logout link
[2022-07-06 11:08:40,026] Login - Step 01: Click 'My Account' link
[2022-07-06 11:08:41,210] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test356989@live.com'
[2022-07-06 11:08:41,265] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-06 11:08:41,396] Login - Step 04: Click Login button
[2022-07-06 11:08:42,659] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-06 11:08:42,699] ---------------------------------PASSED---------------------------------
[2022-07-06 11:08:42,700] Login - Step 06: Verify the email address 'auto_test356989@live.com' is displayed
[2022-07-06 11:08:42,741] ---------------------------------PASSED---------------------------------
[2022-07-06 11:13:39,221] Register - Step 01: Click the Account link
[2022-07-06 11:13:39,533] Register - Step 02: Click the Register link
[2022-07-06 11:13:43,685] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-06 11:13:43,761] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-06 11:13:43,851] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test20003@live.com'
[2022-07-06 11:13:43,933] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-06 11:13:44,068] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-06 11:13:44,174] Register - Step 08: Click the Register button
[2022-07-06 11:13:46,154] Register - Step 09: Verify the register success message is displayed
[2022-07-06 11:13:46,207] ---------------------------------PASSED---------------------------------
[2022-07-06 11:13:46,208] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-06 11:13:46,247] ---------------------------------PASSED---------------------------------
[2022-07-06 11:13:46,247] Register - Step 11: Verify the email address 'auto_test20003@live.com' is displayed
[2022-07-06 11:13:46,283] ---------------------------------FAILED---------------------------------
[2022-07-06 11:13:46,285] Register - Step 12: Click Logout link
[2022-07-06 11:13:48,026] Login - Step 01: Click 'My Account' link
[2022-07-06 11:13:49,291] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test20003@live.com'
[2022-07-06 11:13:49,355] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-06 11:13:49,467] Login - Step 04: Click Login button
[2022-07-06 11:13:50,839] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-06 11:13:50,887] ---------------------------------PASSED---------------------------------
[2022-07-06 11:13:50,887] Login - Step 06: Verify the email address 'auto_test20003@live.com' is displayed
[2022-07-06 11:13:50,924] ---------------------------------PASSED---------------------------------
[2022-07-06 20:58:24,157] Register - Step 01: Click the Account link
[2022-07-06 20:58:54,264] Login - Step 01: Click 'My Account' link
[2022-07-06 22:10:05,120] Register - Step 01: Click the Account link
[2022-07-06 22:10:35,222] Login - Step 01: Click 'My Account' link
[2022-07-12 09:56:49,751] Register - Step 01: Click the Account link
[2022-07-12 09:57:19,831] Login - Step 01: Click 'My Account' link
[2022-07-12 09:58:50,044] Register - Step 01: Click the Account link
[2022-07-12 09:58:50,350] Register - Step 02: Click the Register link
[2022-07-12 09:58:54,431] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-12 09:58:54,505] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-12 09:58:54,589] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test678300@live.com'
[2022-07-12 09:58:54,665] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-12 09:58:54,734] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-12 09:58:54,849] Register - Step 08: Click the Register button
[2022-07-12 09:58:56,698] Register - Step 09: Verify the register success message is displayed
[2022-07-12 09:58:56,752] ---------------------------------PASSED---------------------------------
[2022-07-12 09:58:56,752] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-12 09:58:56,797] ---------------------------------PASSED---------------------------------
[2022-07-12 09:58:56,798] Register - Step 11: Verify the email address 'auto_test678300@live.com' is displayed
[2022-07-12 09:58:56,841] ---------------------------------FAILED---------------------------------
[2022-07-12 09:58:56,842] Register - Step 12: Click Logout link
[2022-07-12 09:58:58,455] Login - Step 01: Click 'My Account' link
[2022-07-12 09:58:59,780] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test678300@live.com'
[2022-07-12 09:58:59,844] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-12 09:58:59,949] Login - Step 04: Click Login button
[2022-07-12 09:59:01,179] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-12 09:59:01,220] ---------------------------------PASSED---------------------------------
[2022-07-12 09:59:01,220] Login - Step 06: Verify the email address 'auto_test678300@live.com' is displayed
[2022-07-12 09:59:01,251] ---------------------------------PASSED---------------------------------
[2022-07-12 16:24:06,547] Register - Step 01: Click the Account link
[2022-07-12 16:24:06,869] Register - Step 02: Click the Register link
[2022-07-12 16:24:12,289] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-12 16:24:12,368] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-12 16:24:12,442] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test202349@live.com'
[2022-07-12 16:24:12,519] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-12 16:24:12,590] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-12 16:24:12,697] Register - Step 08: Click the Register button
[2022-07-12 16:24:14,574] Register - Step 09: Verify the register success message is displayed
[2022-07-12 16:24:14,625] ---------------------------------PASSED---------------------------------
[2022-07-12 16:24:14,625] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-12 16:24:14,662] ---------------------------------PASSED---------------------------------
[2022-07-12 16:24:14,662] Register - Step 11: Verify the email address 'auto_test202349@live.com' is displayed
[2022-07-12 16:24:14,695] ---------------------------------FAILED---------------------------------
[2022-07-12 16:24:14,696] Register - Step 12: Click Logout link
[2022-07-12 16:24:16,332] Login - Step 01: Click 'My Account' link
[2022-07-12 16:24:17,802] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test202349@live.com'
[2022-07-12 16:24:17,879] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-12 16:24:17,949] Login - Step 04: Click Login button
[2022-07-12 16:24:19,452] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-12 16:24:19,500] ---------------------------------PASSED---------------------------------
[2022-07-12 16:24:19,500] Login - Step 06: Verify the email address 'auto_test202349@live.com' is displayed
[2022-07-12 16:24:19,535] ---------------------------------PASSED---------------------------------
[2022-07-13 16:10:24,224] Register - Step 01: Click the Account link
[2022-07-13 16:10:24,541] Register - Step 02: Click the Register link
[2022-07-13 16:10:30,162] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-13 16:10:30,242] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-13 16:10:30,305] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test553716@live.com'
[2022-07-13 16:10:30,370] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:10:30,418] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-13 16:10:30,462] Register - Step 08: Click the Register button
[2022-07-13 16:10:32,650] Register - Step 09: Verify the register success message is displayed
[2022-07-13 16:10:32,702] ---------------------------------PASSED---------------------------------
[2022-07-13 16:10:32,702] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:10:32,739] ---------------------------------PASSED---------------------------------
[2022-07-13 16:10:32,740] Register - Step 11: Verify the email address 'auto_test553716@live.com' is displayed
[2022-07-13 16:10:32,774] ---------------------------------FAILED---------------------------------
[2022-07-13 16:10:32,775] Register - Step 12: Click Logout link
[2022-07-13 16:10:35,216] Login - Step 01: Click 'My Account' link
[2022-07-13 16:10:36,574] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test553716@live.com'
[2022-07-13 16:10:36,644] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:10:36,713] Login - Step 04: Click Login button
[2022-07-13 16:10:38,036] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:10:38,080] ---------------------------------PASSED---------------------------------
[2022-07-13 16:10:38,080] Login - Step 06: Verify the email address 'auto_test553716@live.com' is displayed
[2022-07-13 16:10:38,112] ---------------------------------PASSED---------------------------------
[2022-07-13 16:13:15,213] Register - Step 01: Click the Account link
[2022-07-13 16:13:15,515] Register - Step 02: Click the Register link
[2022-07-13 16:13:20,371] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-13 16:13:20,446] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-13 16:13:20,532] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test798460@live.com'
[2022-07-13 16:13:20,624] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:13:20,702] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-13 16:13:20,821] Register - Step 08: Click the Register button
[2022-07-13 16:13:22,542] Register - Step 09: Verify the register success message is displayed
[2022-07-13 16:13:22,591] ---------------------------------FAILED---------------------------------
[2022-07-13 16:13:22,591] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:13:22,638] ---------------------------------PASSED---------------------------------
[2022-07-13 16:13:22,638] Register - Step 11: Verify the email address 'auto_test798460@live.com' is displayed
[2022-07-13 16:13:22,672] ---------------------------------PASSED---------------------------------
[2022-07-13 16:13:22,673] Register - Step 12: Click Logout link
[2022-07-13 16:13:24,292] Login - Step 01: Click 'My Account' link
[2022-07-13 16:13:25,526] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test798460@live.com'
[2022-07-13 16:13:25,596] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:13:25,717] Login - Step 04: Click Login button
[2022-07-13 16:13:26,979] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:13:27,022] ---------------------------------FAILED---------------------------------
[2022-07-13 16:13:27,022] Login - Step 06: Verify the email address 'auto_test798460@live.com' is displayed
[2022-07-13 16:13:27,061] ---------------------------------PASSED---------------------------------
[2022-07-13 16:17:15,440] Register - Step 01: Click the Account link
[2022-07-13 16:17:15,747] Register - Step 02: Click the Register link
[2022-07-13 16:17:21,088] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-13 16:17:21,182] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-13 16:17:21,236] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test451614@live.com'
[2022-07-13 16:17:21,348] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:17:21,404] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-13 16:17:21,522] Register - Step 08: Click the Register button
[2022-07-13 16:17:23,421] Register - Step 09: Verify the register success message is displayed
[2022-07-13 16:17:23,470] ---------------------------------FAILED---------------------------------
[2022-07-13 16:17:23,470] ***********Failed at Step 09***********
[2022-07-13 16:17:23,471] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:17:23,516] ---------------------------------PASSED---------------------------------
[2022-07-13 16:17:23,516] Register - Step 11: Verify the email address 'auto_test451614@live.com' is displayed
[2022-07-13 16:17:23,565] ---------------------------------PASSED---------------------------------
[2022-07-13 16:17:23,565] Register - Step 12: Click Logout link
[2022-07-13 16:17:25,234] Login - Step 01: Click 'My Account' link
[2022-07-13 16:17:26,388] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test451614@live.com'
[2022-07-13 16:17:26,436] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-13 16:17:26,548] Login - Step 04: Click Login button
[2022-07-13 16:17:28,249] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-13 16:17:28,300] ---------------------------------FAILED---------------------------------
[2022-07-13 16:17:28,300] Login - Step 06: Verify the email address 'auto_test451614@live.com' is displayed
[2022-07-13 16:17:28,351] ---------------------------------PASSED---------------------------------
[2022-07-13 16:26:00,783] Register - Step 01: Click the Account link
